orbitz.com,bookingpath,bookingpath,bookingpath,bookingpath,sail
cheaptickets.com,bookingpath,bookingpath,bookingpath,bookingpath,sail
travelocity.com,hotelcheckout,trippreferences,carcheckout,trippreferences,checkout
priceline.com,contractpayment,details_ret_bk,payment,travelerinfo,sail
cheapoair.com,default,payment,default,default,NONE
lastminutetravel.com,pagetravelerinformation,pagetravelerinformation,pagetravelerinformation,pagetravelerinformation,pagetravelerinformation
airgorilla.com,book,cart,NONE,NONE,NONE
expedia.com,checkout,trippreferences,carcheckout,trippreferences,book
hotwire.com,billing,billing,billing,trippreferences,NONE
cheapair.com,review,review,car/purchase,NONE,NONE
booking.com,/book,NONE,NONE,NONE,NONE
hotels.com,NONE,trippreferences,trippreferences,NONE,NONE
agoda.com,book,NONE,NONE,NONE,NONE
airbnb.com,book,NONE,NONE,NONE,NONE
travelzoo.com,purchase,NONE,NONE,NONE,NONE
homeaway.com,checkout,NONE,NONE,NONE,NONE
onetravel.com,default,default,default,default,NONE
hipmunk.com,book,NONE,NONE,NONE,NONE
bedandbreakfast.com,book,NONE,NONE,NONE,NONE
ach.travel.yahoo.net,checkout,checkout,NONE,NONE,NONE
lonelyplanet.com,NONE,NONE,NONE,NONE,NONE
viator.com,NONE,NONE,NONE,NONE,NONE
